#nvpart(2)   Xc(3)   Yc(4)   Vmax(11)
20.00976926   30.28699742   26.74533463   97.64
21.13954565   33.53905695   37.46012237   109.48
16.90590580   33.67236060   28.37183354   110.61
22.01056101   33.63487810   29.97286122   47.12
19.97672752   32.30135025   28.83912903   69.64
19.89115828   26.79192913   31.94668318   52.85
20.17562766   30.75305199   38.06955011   51.85
20.19674983   33.46825132   38.71696210   52.08
21.65567760   32.45088446   33.21478188   79.82
21.82379564   32.74668979   32.83929644   53.97
19.41909229   30.80358842   27.23574390   39.58
20.91490399   29.66905749   36.32650155   30.19
17.47341062   34.20164170   37.09694733   53.54
20.87260434   26.37146819   34.25476659   52.63
20.81996492   29.50795191   30.20147389   55.00
21.24986029   31.50412250   34.80933278   30.72
21.92615452   33.21209466   34.76928482   42.49
20.51059285   28.39549080   30.91546250   30.12
18.47823656   32.33191505   27.93782823   30.28
20.53466673   35.95026347   27.39834824   43.43
20.43437659   30.03940439   38.34516071   19.89
20.54432887   34.53553215   27.89565073   46.10
17.19944527   33.86090678   28.46595224   27.92
20.40988841   31.97998631   32.62935062   15.43
20.81602794   32.24213391   35.04777549   49.52
21.21200640   28.24599609   32.98165707   31.31
24.37619621   34.87803189   33.48667009   24.95
20.27484385   29.94627387   38.66672419   19.95
21.03002159   29.66689364   29.27535994   38.54
20.63455239   30.12205822   29.64057678   24.58
16.78337648   33.28613668   34.94308611   23.85
21.39985948   27.86432770   31.26578216   17.28
19.01698567   31.38569360   27.50191293   18.48
18.58363971   32.99441992   27.76319686   77.52
21.59029193   34.05635387   37.34671554   17.75
21.03548848   32.88219992   36.98550469   17.00
17.76691795   33.68444163   29.65966577   14.36
21.14289402   28.83390986   30.50250202   34.38
20.77815845   33.11978201   37.95786560   22.37
16.76896872   33.30100349   28.29542487   33.83
20.94705226   25.88834918   34.92842170   41.42
17.39492890   33.66913405   31.04853792   25.35
23.57392929   28.69352939   29.99191330   27.24
18.43853844   29.93820083   29.95868777   26.98
