ID de alumno,Ej 1 (/5),Ej 2 (/5),Ej 3 (/5),Ej 4 (/5),Ej 5 (/5),Bono 1,Bono 2,Definitiva (/5),Bono magistral (/5),Comentarios ej 5
201512652,5,4.8,4.5,5,4.7,,1,5,0.4,"Funcion invalida, era exp(-x)"
201223827,5,5.5,4.9,4.9,5,,,5.06,0.4,
201216886,0,0,0,0,0,,,0,0,
201318114,2.7,2.15,3.1,5,5,,,3.59,0,
201313636,5,4.7,5,5,5,,,4.94,0.4,
201326239,2,2.8,2.9,4.6,5,,,3.46,0,
201215953,2,2.95,3.2,5,5,,,3.63,0,
201314242,0,2.8,5,0,0,,,1.56,0,
201224514,2.9,3.9,2.5,0,5,,,2.86,0,
201425109,1.5,3.4,4.05,0,5,,1,2.99,0,
201421843,0,0,0,0,0,,,0,0,
201327102,3.2,4.9,3.7,4.7,5,,,4.3,0.1,
201424001,5,6,5,0,5,1,,4.4,0.1,
201216203,0,0,0,0,0,,,0,0,
201515899,0,2.7,0,0,0,,,0.54,0,
201327366,5,5.3,4.6,0,5,1,1,4.38,0.1,
201317958,0,5.4,1.9,5,5,,,3.46,0,
201414704,0,4.75,2.9,4.7,5,,1,3.67,0,
201225345,2.6,4.05,3.8,5,5,1,,4.29,0.1,
201225506,1.9,2.8,3.6,5,5,1,1,4.06,0.1,
